"stop_id","stop_name","stop_lat","stop_lon","zone_id","stop_url","to_from","schedules","stop_alias"
"191","Redlands - University Metrolink Station","34.058872","-117.165729","191","https://metrolinktrains.com/rider-info/general-info/stations/redlands---university/","BOTH","1","Redlands - University"
"190","Redlands - Downtown Metrolink Station","34.059074","-117.184517","190","https://metrolinktrains.com/rider-info/general-info/stations/redlands---downtown/","BOTH","1","Redlands - Downtown"
"189","Redlands - Esri Metrolink Station","34.060143","-117.196453","189","https://metrolinktrains.com/rider-info/general-info/stations/redlands---esri/","BOTH","1","Redlands - Esri"
"188","San Bernardino - Tippecanoe Metrolink Station","34.0735","-117.2604","188","https://metrolinktrains.com/rider-info/general-info/stations/san-bernardino---tippecanoe/","BOTH","1","San Bernardino - Tippecanoe"
"187","Ventura - Downtown / Beach Amtrak Station","34.277","-119.2999","187","https://metrolinktrains.com/rider-info/general-info/stations/ventura-downtown-beach/","BOTH","1","Ventura - Downtown / Beach"
"186","Burbank Airport - North (AV Line) Metrolink Station","34.206389","-118.35","186","https://www.metrolinktrains.com/rider-info/general-info/stations/BurbankAirportNorth/","BOTH","1","Burbank Airport - North (AV Line)"
"185","San Bernardino - Downtown Metrolink Station","34.0995034","-117.2960167","185","https://www.metrolinktrains.com/rider-info/general-info/stations/san-bernardino-downtown/","BOTH","1","San Bernardino - Downtown"
"184","South Perris","33.763752","-117.205711","184","https://www.metrolinktrains.com/rider-info/general-info/stations/perris---south/","BOTH","1","Perris - South"
"183","Perris Downtown","33.785282","-117.229836","183","https://www.metrolinktrains.com/rider-info/general-info/stations/perris---downtown/","BOTH","1","Perris - Downtown"
"182","Moreno Valley/March Field","33.911469","-117.289215","182","https://www.metrolinktrains.com/rider-info/general-info/stations/moreno-valleymarch-field/","BOTH","1","Moreno Valley / March Field"
"181","Riverside-Hunter Park/UCR","33.997517","-117.335518","181","https://www.metrolinktrains.com/rider-info/general-info/stations/riverside---hunter-parkucr/","BOTH","1","Riverside - Hunter Park / UCR"
"175","Newhall Metrolink Station","34.379913","-118.527306","175","https://www.metrolinktrains.com/rider-info/general-info/stations/newhall/","BOTH","1","Newhall"
"174","Fullerton Metrolink Station","33.868698","-117.922295","174","https://www.metrolinktrains.com/rider-info/general-info/stations/fullerton/","BOTH","1","Fullerton"
"173","West Corona Metrolink Station","33.885761","-117.613586","173","https://www.metrolinktrains.com/rider-info/general-info/stations/corona---west/","BOTH","1","Corona - West"
"171","Anaheim Canyon Metrolink Station","33.854176","-117.840523","171","https://www.metrolinktrains.com/rider-info/general-info/stations/anaheim-canyon/","BOTH","1","Anaheim Canyon"
"170","Burbank Airport - South (VC Line) Metrolink Station","34.192795","-118.352600","170","https://www.metrolinktrains.com/rider-info/general-info/stations/burbankairportsouth/","BOTH","1","Burbank Airport - South (VC Line)"
"169","East Ventura Metrolink Station","34.250793","-119.205025","169","https://www.metrolinktrains.com/rider-info/general-info/stations/ventura---east/","BOTH","1","Ventura - East"
"168","Oxnard Metrolink Station","34.199276","-119.176308","168","https://www.metrolinktrains.com/rider-info/general-info/stations/oxnard/","BOTH","1","Oxnard"
"167","Northridge Metrolink Station","34.230614","-118.545097","167","https://www.metrolinktrains.com/rider-info/general-info/stations/northridge/","BOTH","1","Northridge"
